domain,object,strategy,n,coverage_mean,coverage_ci95,coverage_min,coverage_max
drone,airspace_obstacle,few_shot_generic,10,0.0333,0.06526799999999999,0.0,0.333
drone,airspace_obstacle,proposed,10,0.3501,0.1717783305904573,0.0,0.833
drone,airspace_obstacle,proposed_with_few_shot,10,0.5,0.15393065751969112,0.167,0.833
drone,airspace_obstacle,zero_shot,10,0.0334,0.04364266666666666,0.0,0.167
drone,ground_target,few_shot_generic,10,0.28350000000000003,0.12927096093950188,0.0,0.667
drone,ground_target,proposed,10,0.6667,0.09736904843372397,0.333,0.833
drone,ground_target,proposed_with_few_shot,10,0.7665,0.07209748690334342,0.5,0.833
drone,ground_target,zero_shot,10,0.3499,0.0761695048807446,0.167,0.5
drone,signal_environment,few_shot_generic,10,0.49989999999999996,0.15180673437850728,0.143,0.857
drone,signal_environment,proposed,10,0.4573,0.055794857923169454,0.286,0.571
drone,signal_environment,proposed_with_few_shot,10,0.5,0.09544705850772865,0.286,0.714
drone,signal_environment,zero_shot,10,0.41459999999999997,0.08799320745502018,0.143,0.714
drone,weather_environment,few_shot_generic,10,0.2833,0.06957680994252163,0.167,0.5
drone,weather_environment,proposed,10,0.5667,0.2293873802244191,0.167,1.0
drone,weather_environment,proposed_with_few_shot,10,0.6667,0.18860117469175824,0.167,1.0
drone,weather_environment,zero_shot,10,0.1501,0.07616950488074462,0.0,0.333
elevator,building_system,few_shot_generic,10,0.42869999999999997,0.10210538225883208,0.143,0.714
elevator,building_system,proposed,10,0.7425999999999999,0.056056,0.571,0.857
elevator,building_system,proposed_with_few_shot,10,0.7425999999999999,0.09153906468096923,0.571,1.0
elevator,building_system,zero_shot,10,0.30019999999999997,0.1349343870578092,0.0,0.714
elevator,elevator_car,few_shot_generic,10,0.625,0.05165053511608352,0.5,0.75
elevator,elevator_car,proposed,10,0.9625,0.03742436817547269,0.875,1.0
elevator,elevator_car,proposed_with_few_shot,10,0.95,0.04000833246545858,0.875,1.0
elevator,elevator_car,zero_shot,10,0.3875,0.07704417924512892,0.25,0.625
elevator,passenger,few_shot_generic,10,0.55,0.11664333099953321,0.375,0.875
elevator,passenger,proposed,10,0.8125,0.05478366544874484,0.75,1.0
elevator,passenger,proposed_with_few_shot,10,0.8125,0.04083333333333333,0.75,0.875
elevator,passenger,zero_shot,10,0.475,0.08001666493091716,0.25,0.625
smart_factory,conveyor_system,few_shot_generic,10,0.45,0.08507293143075664,0.167,0.667
smart_factory,conveyor_system,proposed,10,0.75,0.08768113056854235,0.5,1.0
smart_factory,conveyor_system,proposed_with_few_shot,10,0.7667,0.09971290112451178,0.5,1.0
smart_factory,conveyor_system,zero_shot,10,0.1168,0.09802909079338527,0.0,0.5
smart_factory,factory_equipment,few_shot_generic,10,0.39990000000000003,0.12135530811262896,0.0,0.667
smart_factory,factory_equipment,proposed,10,0.5667,0.11116502664257515,0.333,0.833
smart_factory,factory_equipment,proposed_with_few_shot,10,0.7666,0.12123803703825331,0.333,1.0
smart_factory,factory_equipment,zero_shot,10,0.1501,0.07616950488074462,0.0,0.333
smart_factory,human_worker,few_shot_generic,10,0.2336,0.08702399999999999,0.167,0.5
smart_factory,human_worker,proposed,10,0.4335,0.1212144635667616,0.167,0.667
smart_factory,human_worker,proposed_with_few_shot,10,0.5501,0.08521503079725888,0.333,0.667
smart_factory,human_worker,zero_shot,10,0.3669,0.13596036199487618,0.167,0.667
smart_factory,other_agv,few_shot_generic,10,0.3288,0.08396073067280388,0.143,0.571
smart_factory,other_agv,proposed,10,0.6426,0.10430818085738901,0.286,0.857
smart_factory,other_agv,proposed_with_few_shot,10,0.6139,0.04281347719274076,0.571,0.714
smart_factory,other_agv,zero_shot,10,0.30019999999999997,0.09742153005025804,0.0,0.571
